user_id,item_id,predicted_rating
0,13,41.633545
0,401,41.195953
0,170,38.23471
0,364,38.193848
0,365,37.951355
1,6,40.21672
1,289,37.32509
1,368,35.82837
1,441,34.06729
1,356,33.75772
2,74,29.673813
2,120,29.495453
2,294,29.362793
2,280,25.876465
2,40,24.856812
3,141,47.42128
3,341,39.985657
3,453,35.474686
3,467,35.04413
3,4,35.002197
4,300,40.376038
4,7,39.48105
4,432,38.452072
4,414,33.243713
4,323,32.397217
5,465,40.56006
5,126,34.98143
5,240,32.591248
5,156,31.875
5,58,31.490906
6,332,44.780975
6,142,33.02652
6,81,24.065796
6,80,23.090973
6,319,23.065796
7,190,47.265137
7,226,43.59015
7,240,43.031464
7,84,37.688126
7,7,37.597824
8,78,36.81134
8,375,31.886932
8,395,31.363312
8,79,30.066345
8,132,29.405197
9,385,36.37491
9,213,35.176804
9,257,34.386826
9,471,33.821
9,245,33.306778
10,2,38.616882
10,270,34.303925
10,229,32.742554
10,26,31.048538
10,391,29.869278
11,331,49.02185
11,212,36.70581
11,7,35.783173
11,138,35.5188
11,130,30.296219
12,444,24.633148
12,63,24.534592
12,418,24.449219
12,405,23.213318
12,419,23.165894
13,108,34.895355
13,84,34.689255
13,9,32.160004
13,135,30.52533
13,290,30.47345
14,238,38.595108
14,221,31.81961
14,463,31.714233
14,16,31.323486
14,335,29.257736
15,165,46.636597
15,15,34.387268
15,346,33.302048
15,233,31.542877
15,303,30.635529
16,393,35.56877
16,131,34.796143
16,0,33.22151
16,251,30.819778
16,239,28.587555
17,197,39.900574
17,274,39.46251
17,348,38.330322
17,81,34.630096
17,80,33.29892
18,365,40.58487
18,328,34.601044
18,46,34.27339
18,51,32.046783
18,422,30.189804
19,352,39.192856
19,154,32.79442
19,342,31.906387
19,208,31.478577
19,8,28.801819
20,56,38.304306
20,136,37.63568
20,251,35.1557
20,153,34.33786
20,13,30.147171
21,245,43.07347
21,202,38.5999
21,219,37.655777
21,192,33.457855
21,266,33.344772
22,45,38.46492
22,386,34.785828
22,57,29.80156
22,139,28.93396
22,371,28.83377
23,266,37.406113
23,332,31.783813
23,160,30.002838
23,7,29.852692
23,265,29.794785
24,349,38.820084
24,475,33.610153
24,310,28.115616
24,470,27.19548
24,474,25.853882
25,366,36.75766
25,301,35.59915
25,97,31.283325
25,240,31.216797
25,56,30.625977
26,321,46.4151
26,13,39.02124
26,398,32.070465
26,214,31.143127
26,482,30.674759
27,327,46.461212
27,310,46.137634
27,108,38.57126
27,73,34.860992
27,214,33.769318
28,371,52.930405
28,160,46.381073
28,402,39.00453
28,217,28.762344
28,90,28.75644
29,393,49.63304
29,387,28.636322
29,80,26.928406
29,207,25.733704
29,471,25.587555
30,0,48.604843
30,312,47.258423
30,418,37.00113
30,177,30.557495
30,403,30.49028
31,45,45.07303
31,202,38.657806
31,258,36.6185
31,63,34.36415
31,464,34.2648
32,195,45.146774
32,471,32.89894
32,426,32.164795
32,369,31.442581
32,227,26.85382
33,129,40.070587
33,371,32.51837
33,335,29.297333
33,139,28.998993
33,458,28.62854
34,444,39.186783
34,463,36.680115
34,13,36.296143
34,46,34.355698
34,15,26.854126
35,371,46.485825
35,327,33.834045
35,259,33.456985
35,231,30.355957
35,114,29.880417
36,372,44.722015
36,367,35.909317
36,251,32.240997
36,471,31.853104
36,168,31.259308
37,414,39.901688
37,206,37.545563
37,218,35.451996
37,122,34.857758
37,352,32.525467
38,399,36.71347
38,375,33.393234
38,303,32.781845
38,266,31.508957
38,364,29.323608
39,108,50.402176
39,180,39.78891
39,450,38.709305
39,207,32.438644
39,213,31.174759
40,270,43.17386
40,173,32.655457
40,354,31.873383
40,52,28.792206
40,33,27.641373
41,80,35.08705
41,212,34.398743
41,447,28.92862
41,138,28.25116
41,388,25.052399
42,56,41.737747
42,450,40.584106
42,86,35.949127
42,255,35.00125
42,391,34.899673
43,475,42.904633
43,191,41.379547
43,407,31.940048
43,402,30.714401
43,315,30.04129
44,268,41.519684
44,221,38.315155
44,78,35.244385
44,32,34.45195
44,235,32.64041
45,73,38.04686
45,467,36.093887
45,308,32.149612
45,306,30.78859
45,144,30.34523
46,449,36.092163
46,336,28.163986
46,228,27.22647
46,458,26.969269
46,479,24.255157
47,16,32.936005
47,432,32.020233
47,449,28.924515
47,340,28.468918
47,120,26.721191
48,299,60.98886
48,57,42.781097
48,7,42.05214
48,190,39.738876
48,438,33.266098
49,143,32.802902
49,214,26.25418
49,377,25.687347
49,73,24.649033
49,260,21.584702
50,77,43.072433
50,342,43.056107
50,289,36.596436
50,217,35.991867
50,266,35.349518
51,273,37.95038
51,360,28.439972
51,80,27.694016
51,399,26.709946
51,420,25.474136
52,341,40.030685
52,282,38.916077
52,140,34.824524
52,206,30.729507
52,57,29.666855
53,73,27.058899
53,45,26.837875
53,23,26.047241
53,220,25.770264
53,114,25.11557
54,416,37.526
54,100,36.675476
54,402,33.241013
54,345,32.09169
54,283,30.238647
55,447,44.175842
55,183,35.54274
55,55,35.09607
55,329,32.285522
55,480,32.10901
56,86,38.171402
56,339,36.57242
56,40,29.57106
56,404,29.214203
56,102,27.817856
57,163,39.027557
57,449,34.591293
57,260,34.35562
57,3,31.294693
57,414,30.786407
58,35,33.36696
58,44,33.203278
58,378,29.859451
58,368,28.482025
58,343,27.146347
59,485,34.31044
59,486,30.777878
59,438,30.164154
59,453,28.646118
59,212,26.759033
60,462,40.28859
60,446,37.267426
60,97,35.014984
60,10,33.195206
60,480,30.19336
61,449,33.295197
61,130,30.07428
61,31,29.433167
61,123,28.471405
61,45,27.778336
62,289,40.543427
62,254,36.837692
62,165,36.52275
62,48,36.21756
62,325,35.765686
63,114,38.19934
63,28,37.23796
63,452,36.914307
63,443,36.034958
63,94,34.190308
64,220,42.787277
64,47,39.05722
64,393,33.82051
64,80,32.03264
64,97,30.26503
65,466,44.746216
65,190,42.082703
65,251,38.12448
65,126,35.32666
65,385,33.028214
66,192,40.62265
66,449,38.549927
66,480,37.937073
66,260,37.11444
66,12,37.075333
67,192,55.590958
67,464,41.29593
67,294,37.309937
67,477,36.555664
67,81,29.962646
68,377,64.74194
68,32,48.221237
68,462,44.971466
68,135,43.1248
68,80,39.0475
69,185,39.88118
69,263,35.918716
69,186,32.427612
69,280,29.75772
69,346,28.55252
70,386,51.340347
70,384,45.713287
70,114,42.00792
70,45,37.261078
70,461,36.76808
71,246,46.494156
71,463,30.044983
71,32,29.997711
71,61,26.478119
71,473,25.26088
72,389,53.91577
72,476,48.47075
72,159,41.871506
72,141,40.66545
72,405,34.494247
73,347,40.366318
73,282,35.444046
73,12,35.396774
73,217,34.721176
73,240,29.976639
74,239,33.26529
74,94,30.588745
74,96,26.914307
74,465,25.199615
74,411,23.597534
75,138,36.621307
75,27,36.058517
75,308,34.73044
75,235,33.132034
75,332,33.10968
76,425,41.284622
76,90,32.542603
76,413,30.881561
76,101,29.229294
76,325,29.096924
77,372,25.42044
77,229,24.87503
77,323,22.01683
77,70,20.836624
77,357,19.368668
78,357,45.730988
78,297,45.314026
78,405,37.782715
78,334,36.972748
78,329,31.972412
79,193,38.723206
79,269,36.600845
79,7,35.557816
79,343,32.85074
79,130,32.055176
80,395,34.691467
80,335,33.152527
80,385,32.21173
80,471,30.642044
80,10,26.834854
81,19,38.988678
81,231,32.412537
81,249,31.263824
81,103,30.960114
81,184,30.423508
82,469,46.122986
82,460,40.292496
82,421,38.568604
82,315,35.44893
82,71,33.120453
83,170,39.13182
83,298,32.28595
83,261,31.772552
83,32,31.07901
83,391,28.595703
84,361,47.924423
84,176,40.448303
84,441,37.780624
84,448,32.291992
84,372,30.84439
85,282,34.604553
85,54,31.47145
85,476,29.989456
85,393,29.79132
85,270,27.93486
86,285,46.552155
86,345,36.64383
86,301,35.410187
86,335,34.683334
86,161,34.313156
87,112,42.593796
87,10,40.985657
87,39,34.30896
87,19,34.03076
87,475,32.96849
88,10,41.86479
88,341,30.340485
88,134,25.06073
88,465,24.427582
88,145,23.460938
89,77,34.454544
89,80,33.211975
89,295,32.13057
89,335,30.249435
89,71,30.107666
90,218,35.403824
90,167,34.85498
90,58,33.975937
90,411,32.898056
90,292,31.966095
91,126,40.71724
91,328,35.60721
91,129,34.4778
91,369,32.98488
91,435,32.251694
92,458,47.56186
92,218,38.173874
92,394,37.30246
92,257,36.868683
92,464,33.718918
93,163,41.276016
93,327,40.80838
93,103,37.8983
93,335,34.52028
93,419,34.149353
94,444,47.33406
94,470,41.254456
94,7,37.400406
94,249,36.54364
94,447,35.994675
95,462,28.255173
95,150,25.865189
95,355,25.755432
95,112,25.428314
95,11,24.132675
96,432,48.84294
96,397,37.95967
96,289,36.555603
96,282,34.355927
96,468,33.462967
97,147,53.985474
97,332,40.16887
97,257,39.58606
97,444,36.37416
97,315,29.946945
98,389,41.309784
98,195,41.00412
98,47,31.921127
98,398,29.054382
98,225,28.46547
99,308,58.648743
99,306,33.54648
99,210,29.99707
99,453,29.831604
99,130,28.692139
100,13,34.56186
100,440,29.333878
100,49,28.543457
100,108,28.024231
100,329,21.853088
101,471,48.14882
101,101,39.26982
101,180,36.171738
101,366,35.759247
101,327,33.928757
102,161,49.427322
102,270,40.95352
102,221,32.558594
102,13,28.90268
102,181,25.60176
103,221,46.818665
103,52,39.48633
103,390,39.237167
103,30,38.438965
103,412,38.427032
104,384,45.411987
104,28,42.491486
104,149,34.03871
104,181,32.61264
104,189,32.424774
105,462,41.02481
105,485,39.059692
105,497,38.542603
105,431,36.101685
105,108,35.94557
106,280,40.96515
106,76,37.46132
106,385,29.11853
106,472,26.828156
106,14,26.274261
107,218,47.782074
107,206,43.444717
107,488,41.298462
107,387,40.551514
107,477,40.377106
108,362,36.770096
108,15,33.33278
108,13,32.709396
108,82,30.79657
108,91,27.407074
109,101,42.548508
109,179,37.38446
109,341,36.636
109,312,32.565445
109,373,30.924255
110,449,44.266876
110,440,40.95401
110,101,34.781525
110,458,26.885849
110,126,26.444489
111,50,34.624756
111,387,32.801315
111,107,29.8228
111,314,28.41298
111,378,28.15094
112,346,50.6288
112,394,46.68222
112,97,30.411316
112,460,29.739746
112,202,25.644379
113,453,32.096115
113,77,29.109772
113,440,27.6324
113,102,26.010376
113,476,24.93811
114,356,38.44249
114,263,35.95552
114,182,34.926254
114,453,34.90558
114,332,33.514893
115,147,49.48625
115,130,40.4662
115,342,31.48819
115,247,31.310455
115,26,30.683838
116,90,31.602905
116,18,31.331284
116,279,30.90599
116,382,30.8284
116,385,27.866028
117,388,53.51146
117,432,37.673233
117,379,36.252594
117,408,30.737854
117,238,30.70642
118,241,37.606354
118,146,33.96849
118,141,33.262802
118,327,31.908112
118,304,30.442505
119,446,27.8833
119,295,26.769852
119,79,25.829712
119,480,24.452682
119,490,23.237396
120,254,33.860428
120,354,33.26825
120,4,29.247147
120,347,28.807419
120,425,25.312653
121,332,28.127258
121,268,26.970947
121,199,26.363312
121,33,25.655853
121,193,22.311142
122,450,36.347504
122,26,32.611206
122,167,30.974945
122,9,29.734253
122,245,28.092422
123,95,29.517944
123,332,26.473389
123,97,23.662598
123,323,23.544556
123,33,23.470367
124,418,42.413956
124,96,36.087326
124,191,29.224213
124,26,29.036774
124,65,27.702286
125,264,41.036713
125,43,35.292023
125,345,32.867706
125,108,31.736526
125,385,28.863983
126,475,48.304626
126,432,32.842148
126,480,31.898636
126,308,31.724945
126,15,31.69281
127,9,36.624573
127,203,22.753418
127,39,21.233292
127,173,19.286346
127,33,18.446228
128,53,44.877197
128,345,40.80017
128,231,37.74997
128,1,34.872757
128,176,33.863144
129,15,33.214233
129,444,32.81781
129,345,32.43744
129,471,32.103943
129,128,31.077911
130,414,43.425354
130,316,40.49507
130,231,39.42035
130,321,35.795044
130,73,34.214066
131,327,31.844055
131,480,28.32544
131,184,27.395996
131,304,25.1315
131,332,23.558258
132,370,40.823486
132,418,32.018784
132,8,30.84961
132,94,29.787872
132,1,29.07257
133,153,36.055527
133,436,31.752563
133,57,28.358322
133,39,25.949844
133,129,25.67302
134,348,41.737076
134,265,41.73651
134,153,33.585556
134,240,31.39795
134,446,29.246857
135,440,32.841827
135,330,31.604095
135,361,29.461212
135,449,27.006393
135,327,25.488022
136,107,49.428314
136,314,39.811844
136,100,34.049835
136,26,33.20363
136,78,31.376205
137,218,38.10617
137,301,35.31015
137,173,34.490158
137,81,34.022537
137,327,31.647049
138,452,39.275208
138,246,33.54767
138,340,32.036728
138,88,28.627945
138,317,28.479904
139,218,38.04242
139,270,35.371643
139,300,33.76712
139,32,33.263306
139,45,32.862946
140,253,42.849503
140,453,35.523895
140,329,30.909958
140,389,28.27214
140,246,28.225708
141,97,35.902527
141,428,27.42984
141,112,25.058334
141,232,24.579681
141,79,23.586441
142,414,47.740143
142,371,34.864227
142,199,32.63176
142,275,29.804123
142,193,27.624481
143,81,43.4971
143,373,39.11023
143,77,38.02536
143,134,37.620407
143,258,33.6416
144,218,49.006577
144,364,47.10788
144,163,43.100677
144,282,42.935272
144,475,29.684494
145,244,49.82492
145,97,45.50586
145,280,37.023087
145,15,36.65117
145,132,36.580963
146,240,42.38846
146,449,36.078262
146,194,35.959457
146,11,30.408371
146,73,29.043259
147,165,48.788696
147,198,33.365143
147,48,32.987793
147,293,32.930984
147,168,32.233383
148,168,36.226624
148,308,31.687546
148,486,31.145615
148,25,30.286957
148,56,27.409515
149,414,37.186203
149,289,35.68747
149,131,33.33972
149,63,32.107956
149,228,30.920929
150,186,38.153564
150,57,35.437027
150,255,31.883026
150,280,31.628662
150,118,29.735748
151,139,27.88144
151,377,27.156906
151,244,24.722519
151,96,21.572784
151,165,20.577087
152,307,40.15219
152,163,35.262115
152,297,30.055939
152,281,29.206314
152,365,28.94307
153,262,41.644547
153,129,40.45575
153,50,38.12874
153,76,34.040115
153,466,32.522186
154,69,42.418762
154,345,40.803543
154,167,36.103317
154,143,35.53911
154,108,34.723145
155,159,37.976913
155,464,33.630737
155,274,32.871704
155,466,31.458237
155,97,30.991135
156,321,39.481888
156,224,35.52066
156,364,34.779053
156,99,32.675858
156,474,28.280045
157,343,33.919174
157,56,31.82277
157,469,30.96643
157,90,29.324295
157,79,26.73912
158,231,41.226105
158,440,39.307068
158,167,33.292526
158,456,31.860123
158,49,29.78096
159,218,42.51021
159,26,37.35678
159,345,37.090866
159,12,33.546387
159,50,32.1528
160,221,32.71724
160,390,32.36168
160,397,26.028534
160,168,25.856842
160,446,24.997238
161,56,36.708893
161,85,33.638275
161,478,29.664688
161,212,29.470932
161,140,29.253723
162,393,31.551071
162,289,31.376465
162,497,27.948761
162,236,24.755783
162,269,23.366592
163,393,45.63333
163,403,40.584213
163,288,39.879013
163,212,32.2641
163,236,32.23491
164,322,34.875305
164,158,30.501541
164,81,29.55983
164,375,27.126099
164,226,27.04834
165,466,44.58989
165,311,34.1669
165,4,33.378098
165,279,32.313507
165,181,29.728271
166,475,47.320114
166,76,44.023743
166,437,37.18663
166,368,36.877167
166,473,34.14055
167,80,35.420715
167,53,35.01364
167,477,33.891113
167,188,32.87094
167,176,31.988708
168,389,36.425995
168,251,33.11299
168,390,31.804382
168,474,30.407578
168,317,28.034012
169,72,34.01294
169,432,26.546494
169,416,25.124176
169,96,24.989105
169,292,24.973984
170,260,45.348404
170,347,40.060043
170,54,37.42888
170,309,33.09845
170,39,31.593628
171,60,46.64662
171,407,45.04254
171,285,33.02124
171,176,28.526917
171,372,28.355606
172,143,36.864212
172,418,36.07274
172,443,33.95862
172,480,33.76883
