user_id,movie_id,rating
0,53,69.0
0,125,43.0
0,207,54.0
0,588,69.0
0,677,50.0
0,691,12.0
0,695,69.0
0,887,33.0
0,906,43.0
0,1500,47.0
0,1754,14.0
0,1957,38.0
0,1977,24.0
1,256,51.0
1,286,15.0
1,305,42.0
1,471,82.0
1,636,14.0
1,647,32.0
1,791,43.0
1,882,35.0
1,963,83.0
1,1214,33.0
1,1461,51.0
1,1745,34.0
1,1841,19.0
2,62,81.0
2,89,24.0
2,232,19.0
2,384,13.0
2,403,29.0
2,438,22.0
2,652,65.0
2,748,13.0
2,872,98.0
2,1049,65.0
2,1155,45.0
2,1168,96.0
2,1268,41.0
2,1327,61.0
2,1355,65.0
2,1486,39.0
2,1511,59.0
2,1634,72.0
2,1650,11.0
2,1955,98.0
2,1979,54.0
3,55,19.0
3,115,96.0
3,143,47.0
3,281,22.0
3,337,28.0
3,398,99.0
3,491,63.0
3,613,92.0
3,991,29.0
3,1104,93.0
3,1313,83.0
3,1328,39.0
3,1347,54.0
3,1353,72.0
3,1502,31.0
3,1503,51.0
3,1696,65.0
3,1794,27.0
3,1810,46.0
3,1902,31.0
3,1977,47.0
4,173,83.0
4,293,83.0
4,398,32.0
4,516,44.0
4,948,42.0
4,955,52.0
4,1088,88.0
4,1130,93.0
4,1207,97.0
4,1309,63.0
4,1312,36.0
4,1338,89.0
4,1629,36.0
4,1741,47.0
4,1804,12.0
4,1830,91.0
5,182,62.0
5,453,21.0
5,525,23.0
5,539,11.0
5,550,30.0
5,598,50.0
5,727,26.0
5,741,45.0
5,743,13.0
5,812,71.0
5,817,66.0
5,838,60.0
5,1062,75.0
5,1103,97.0
5,1137,83.0
5,1281,75.0
5,1393,96.0
5,1472,98.0
5,1574,64.0
5,1721,46.0
5,1734,33.0
5,1856,93.0
5,1911,77.0
6,119,13.0
6,203,87.0
6,302,85.0
6,467,76.0
6,477,64.0
6,497,97.0
6,769,15.0
6,1127,59.0
6,1147,77.0
6,1162,63.0
6,1602,56.0
6,1749,79.0
6,1960,76.0
7,267,86.0
7,286,100.0
7,343,39.0
7,473,72.0
7,492,63.0
7,502,80.0
7,564,11.0
7,599,37.0
7,846,80.0
7,975,37.0
7,1012,59.0
7,1294,65.0
7,1338,60.0
7,1551,86.0
7,1639,93.0
7,1744,15.0
7,1819,48.0
7,1929,51.0
8,162,55.0
8,232,11.0
8,360,71.0
8,506,82.0
8,548,12.0
8,673,19.0
8,843,61.0
8,1007,88.0
8,1029,60.0
8,1153,48.0
8,1207,89.0
8,1250,33.0
8,1260,48.0
8,1284,71.0
8,1318,96.0
8,1334,90.0
8,1419,45.0
8,1457,96.0
8,1734,42.0
8,1868,29.0
9,95,99.0
9,137,10.0
9,248,20.0
9,424,20.0
9,454,31.0
9,461,92.0
9,479,20.0
9,528,22.0
9,898,67.0
9,906,30.0
9,998,14.0
9,1008,71.0
9,1029,52.0
9,1287,41.0
9,1329,97.0
9,1404,91.0
9,1463,21.0
9,1570,52.0
9,1643,49.0
9,1728,15.0
9,1769,41.0
9,1790,16.0
9,1842,56.0
9,1980,19.0
10,205,96.0
10,610,81.0
10,785,66.0
10,798,69.0
10,807,80.0
10,833,17.0
10,1020,40.0
10,1127,15.0
10,1233,97.0
10,1277,65.0
10,1317,50.0
10,1613,96.0
10,1624,40.0
10,1709,45.0
10,1819,33.0
10,1868,34.0
11,54,71.0
11,180,79.0
11,366,47.0
11,485,29.0
11,568,71.0
11,752,82.0
11,823,30.0
11,872,84.0
11,936,68.0
11,975,84.0
11,1190,82.0
11,1258,84.0
11,1276,86.0
11,1349,97.0
11,1390,41.0
11,1445,77.0
11,1513,85.0
11,1822,33.0
11,1939,85.0
12,212,74.0
12,666,73.0
12,893,94.0
12,1008,84.0
12,1046,41.0
12,1150,98.0
12,1412,23.0
13,337,37.0
13,423,35.0
13,454,30.0
13,521,11.0
13,592,59.0
13,778,20.0
13,927,24.0
13,1319,16.0
13,1361,52.0
13,1456,66.0
13,1520,92.0
13,1521,96.0
13,1636,85.0
13,1667,92.0
13,1671,74.0
13,1702,20.0
13,1814,94.0
13,1862,85.0
13,1876,100.0
13,1945,33.0
13,1956,74.0
13,1979,59.0
14,112,22.0
14,205,21.0
14,464,63.0
14,621,38.0
14,636,63.0
14,649,56.0
14,763,76.0
14,839,90.0
14,909,93.0
14,978,13.0
14,1019,42.0
14,1116,100.0
14,1514,10.0
14,1721,38.0
14,1979,19.0
14,1996,72.0
15,94,53.0
15,413,14.0
15,436,58.0
15,480,63.0
15,560,20.0
15,573,75.0
15,580,80.0
15,717,49.0
15,946,15.0
15,1172,21.0
